gene	chr	pos
PEX14	1	10678435
CASZ1	1	10765989
DRAXIN	1	11769400
AADACL4	1	12704683
KAZN	1	15430617
TMEM51	1	15492293
TMEM51	1	15525367
TMEM51	1	15531537
DDI2	1	15994094
ARHGEF19	1	16538170
SPATA21	1	16736385
PADI2	1	17395737
ARHGEF10L	1	17869806
ACTL8	1	18109386
MINOS1-NBL1	1	19948279
TMCO4	1	20114930
PLA2G2C	1	20490647
VWA5B1	1	20681343
MUL1	1	20827016
ZBTB40	1	22792226
EPHA8	1	22903321
EPHA8	1	22927195
C1QC	1	22973820
MYOM3	1	24419541
MYOM3	1	24438487
UBXN11	1	26639365
MAP3K6	1	27689373
AHDC1	1	27923964
FGR	1	27959988
IFI6	1	27995908
TAF12	1	28960386
GMEB1	1	29002740
GMEB1	1	29045006
EPB41	1	29283788
EPB41	1	29365932
PTPRU	1	29650289
ZBTB8B	1	32934137
ZBTB8A	1	33051815
KIAA1522	1	33235534
ZNF362	1	33764623
CSMD2	1	33981822
DLGAP3	1	35370475
CLSPN	1	36204142
STK40	1	36847681
GRIK3	1	37261366
PPIE	1	40207567
NFYC	1	41176483
NFYC	1	41180122
NFYC	1	41183467
NFYC	1	41190119
NFYC	1	41198234
HIVEP3	1	42234591
HIVEP3	1	42363792
CCDC30	1	42933604
CCDC30	1	42939181
CCDC30	1	42975856
SZT2	1	43887851
PTPRF	1	44057179
IPO13	1	44422307
RNF220	1	44873389
ZSWIM5	1	45671541
MAST2	1	46471967
MAST2	1	46495637
MKNK1	1	47074026
PDZK1IP1	1	47653077
ELAVL4	1	50666772
GLIS1	1	54092132
C1orf177	1	55280594
PCSK9	1	55518377
DAB1	1	57538072
DAB1	1	57897689
DAB1	1	57984300
DAB1	1	58079798
DAB1	1	58148750
DAB1	1	58160791
DAB1	1	58283114
DAB1	1	58480383
PDE4B	1	66277037
SLC44A5	1	76068340
USP33	1	78213970
NEXN	1	78370842
LPHN2	1	82124492
LPHN2	1	82170084
LPHN2	1	82177372
LPHN2	1	82205802
LRRC8D	1	90317228
LRRC8D	1	90378780
ZNF644	1	91449453
GPR88	1	101005759
RNPC3	1	104094845
SYPL2	1	110023805
AMPD2	1	110169369
EPS8L3	1	110306174
ALX3	1	110603589
CHI3L2	1	111781434
RAP1A	1	112173408
CSDE1	1	115299888
NGF	1	115847234
IGSF3	1	117158783
ITGA10	1	145527928
POGZ	1	151379397
CGN	1	151484926
CGN	1	151486809
RORC	1	151785517
SPRR2B	1	153094896
GATAD2B	1	153819496
PYGO2	1	154932252
ZBTB7B	1	154980246
ASH1L	1	155527431
LMNA	1	156073550
NES	1	156641141
PEAR1	1	156872231
CD1C	1	158262125
IGSF9	1	159914764
KCNJ10	1	160030369
ATP1A2	1	160111279
ADCY10	1	167877295
CCDC181	1	169419013
TNR	1	175284852
TNR	1	175498596
TNR	1	175515860
TNR	1	175540887
TNR	1	175567864
TNR	1	175676191
RGL1	1	183657554
C1orf21	1	184356580
FAM129A	1	184764209
CFHR2	1	196825521
CRB1	1	197231209
KIF21B	1	200939258
KIF21B	1	200943916
ASCL5	1	201091881
NAV1	1	201751551
PPP1R12B	1	202561340
SYT2	1	202614610
SYT2	1	202660536
SYT2	1	202668102
PPFIA4	1	203003902
MYOG	1	203052813
CHI3L1	1	203149718
SOX13	1	204096139
PLEKHA6	1	204293363
PLEKHA6	1	204297580
LRRN2	1	204602755
LRRN2	1	204618134
CNTN2	1	205012738
TMCC2	1	205238159
NUAK2	1	205272821
LEMD1	1	205408847
HSD11B1	1	209871030
HHAT	1	210761431
PROX1	1	214162796
PTPN14	1	214697858
USH2A	1	215844529
USH2A	1	215848234
SNAP47	1	227916577
ARF1	1	228277846
GJC2	1	228347088
TRIM11	1	228594182
GALNT2	1	230338932
PGBD5	1	230517060
PGBD5	1	230528144
PGBD5	1	230546991
MAP10	1	232943152
GNG4	1	235791442
MTR	1	237026774
CHRM3	1	239997668
CHRM3	1	240003255
CHRM3	1	240071462
GREM2	1	240659809
MAP1LC3C	1	242159364
NLRP3	1	247593032
MYT1L	2	2291192
MYT1L	2	2315066
SOX11	2	5840873
MYCN	2	16086407
VSNL1	2	17767845
KCNS3	2	18080056
HS1BP3	2	20824564
C2orf43	2	21015353
KLHL29	2	23634596
KLHL29	2	23698324
KLHL29	2	23733232
UBXN2A	2	24164671
ITSN2	2	24555755
EMILIN1	2	27307389
MPV17	2	27536009
FAM179A	2	29280027
C2orf71	2	29294254
EHD3	2	31457015
EHD3	2	31457277
NLRC4	2	32477605
LTBP1	2	33172391
CRIM1	2	36759084
CEBPZ	2	37455888
SOS1	2	39347807
COX7A2L	2	42589806
MTA3	2	42737949
PRKCE	2	46372260
SOCS5	2	46960356
STON1-GTF2A1L	2	48790434
VRK2	2	58170798
KIAA1841	2	61344627
B3GNT2	2	62433356
EHBP1	2	62902036
PELI1	2	64348594
SERTAD2	2	64876148
SLC1A4	2	65248080
PROKR1	2	68871006
PROKR1	2	68873427
ANXA4	2	69969387
ADD2	2	70900388
ADD2	2	70945822
PAIP2B	2	71415569
SMYD5	2	73453822
CCT7	2	73476992
C2orf78	2	74043026
C2orf68	2	85836187
FAM178B	2	97541898
FAM178B	2	97626177
INPP4A	2	99070284
INPP4A	2	99126841
TSGA10	2	99762460
REV1	2	100091092
AFF3	2	100747205
IL1RL1	2	102967995
IL18R1	2	102973017
NCK2	2	106470923
C2orf40	2	106681958
ST6GAL2	2	107422813
ST6GAL2	2	107496820
SULT1C3	2	108877025
SULT1C3	2	108881696
EDAR	2	109527458
EDAR	2	109567583
SH3RF3	2	110015104
PAX8	2	113984748
C2orf76	2	120121357
PTPN4	2	120521399
AMER3	2	131521647
PLEKHB2	2	131874459
ZRANB3	2	136268837
ARHGAP15	2	143856774
ORC4	2	148735682
MBD5	2	148895008
KCNJ3	2	155554956
GPD2	2	157310011
CYTIP	2	158310403
ACVR1	2	158695926
ACVR1	2	158716795
PKP4	2	159320493
PKP4	2	159519854
PLA2R1	2	160898678
GCA	2	163183005
SCN7A	2	167260496
GAD1	2	171674117
CHN1	2	175869748
TTN	2	179411949
CWC22	2	180830668
CALCRL	2	188286123
GULP1	2	189188936
GLS	2	191745774
HECW2	2	197379588
CCDC150	2	197540918
SF3B1	2	198254630
FAM126B	2	201896269
ALS2	2	202636931
NRP2	2	206628462
IDH1	2	209113120
MAP2	2	210405810
MAP2	2	210494775
TNS1	2	218771468
TNS1	2	218779066
ABCB6	2	220083342
SLC4A3	2	220496844
CUL3	2	225450022
DOCK10	2	225907092
RHBDD1	2	227700752
TRIP12	2	230768492
GPR55	2	231787573
SPATA3	2	231870493
NGEF	2	233852820
AGAP1	2	237036262
ESPNL	2	239041415
GPR35	2	241569699
C2orf54	2	241826270
ANO7	2	242129478
ANO7	2	242139560
SEPT2	2	242255876
CNTN4	3	2479697
LRRN1	3	3854841
SSUH2	3	8691224
PRRT3	3	9988963
ATP2B2	3	10382201
ATP2B2	3	10539854
ATP2B2	3	10719953
SLC6A1	3	11042396
SLC6A6	3	14472518
SLC6A6	3	14479804
C3orf20	3	14799178
NR2C2	3	15044607
SH3BP5	3	15374941
PLCL2	3	16940618
TBC1D5	3	17652725
THRB	3	24290161
THRB	3	24371052
THRB	3	24382844
THRB	3	24487761
LRRC3B	3	26673124
TGFBR2	3	30648255
CRTAP	3	33186856
ARPP21	3	35720631
XYLB	3	38454513
GORASP1	3	39139680
VIPR1	3	42535529
ACKR2	3	42859076
POMGNT2	3	43134663
PRSS50	3	46773564
KIF9	3	47269987
PLXNB1	3	48455065
IP6K2	3	48725780
USP4	3	49362350
RHOA	3	49418903
NICN1	3	49462247
DAG1	3	49511443
DAG1	3	49517193
DAG1	3	49517505
APEH	3	49720883
RBM15B	3	51432605
DNAH1	3	52420190
STAB1	3	52536165
NT5DC2	3	52569006
GLT8D1	3	52738834
ITIH1	3	52825609
WNT5A	3	55523751
FAM208A	3	56700291
C3orf67	3	59018533
FHIT	3	60706760
FHIT	3	60843361
SLC25A26	3	66136467
SLC25A26	3	66153790
LRIG1	3	66444558
FAM19A4	3	68959227
FOXP1	3	71286607
FOXP1	3	71293248
FOXP1	3	71360054
FOXP1	3	71567391
ROBO1	3	78666794
ROBO1	3	79668310
ROBO1	3	79670521
COL8A1	3	99430326
COL8A1	3	99440376
COL8A1	3	99506013
LNP1	3	100144319
ZPLD1	3	101858854
ZPLD1	3	102046603
ZPLD1	3	102091870
BOC	3	112962163
ATP6V1A	3	113528555
ZBTB20	3	114294209
ZBTB20	3	114375754
ZBTB20	3	114389855
ZBTB20	3	114483255
IGSF11	3	118856862
GSK3B	3	119544758
FBXO40	3	121333553
MYLK	3	123356965
MYLK	3	123552443
UROC1	3	126211279
UROC1	3	126216876
TXNRD3NB	3	126299486
PLXNA1	3	126733167
SEC61A1	3	127789312
RPN1	3	128376198
KIAA1257	3	128686778
KIAA1257	3	128712832
IFT122	3	129239116
PLXND1	3	129274186
COL6A5	3	130140011
CPNE4	3	131261657
CPNE4	3	131783178
ACAD11	3	132373325
TMEM108	3	132839666
SRPRB	3	133507992
EPHB1	3	134960031
STAG1	3	136361063
DZIP1L	3	137831469
CEP70	3	138219238
MRPS22	3	138877917
MRPS22	3	138953602
MRPS22	3	139058222
MRPS22	3	139060770
CLSTN2	3	140294352
ZBTB38	3	141116993
COMMD2	3	149457418
MED12L	3	150874031
MED12L	3	151075459
DHX36	3	154042046
C3orf55	3	157379319
MLF1	3	158289098
SPTSSB	3	161090544
SI	3	164777740
ACTRT3	3	169485117
GPR160	3	169761550
CLDN11	3	170245089
FNDC3B	3	171776835
NAALADL2	3	175473132
KCNMB2	3	178254407
KCNMB2	3	178280512
KCNMB2	3	178361441
KCNMB2	3	178413252
EIF2B5	3	184071185
EIF2B5	3	184075768
ST6GAL1	3	186692818
ST6GAL1	3	186707442
ST6GAL1	3	186716604
LPP	3	187956996
LPP	3	188202469
TPRG1	3	188905218
IL1RAP	3	190267743
LRRC15	3	194089821
NCBP2	3	196669429
KIAA0226	3	197468285
MYL5	4	670559
TMEM175	4	939999
SLC26A1	4	985228
CTBP1	4	1206172
ADRA2C	4	3768849
ZBTB49	4	4294210
EVC2	4	5578082
PPP2R2C	4	6560263
TBC1D14	4	6915762
TADA2B	4	7056073
AFAP1	4	7893676
ACOX3	4	8419574
DRD5	4	9783582
C4orf19	4	37541137
C4orf19	4	37592926
PGM2	4	37851968
RHOH	4	40234271
RBM47	4	40507455
APBB2	4	41170478
APBB2	4	41208929
COX7B2	4	46807858
CNGA1	4	48012852
TEC	4	48238178
OCIAD1	4	48833477
FIP1L1	4	54439894
FIP1L1	4	55100363
TMEM165	4	56283355
ARL9	4	57390031
AFP	4	74308041
NAAA	4	76831972
FAM47E	4	77217627
SHROOM3	4	77675852
ANXA3	4	79500203
BMP3	4	81967027
WDFY3	4	85661539
ABCG2	4	89073548
CCSER1	4	91180729
BMPR1B	4	95918009
BANK1	4	102349991
BANK1	4	102613457
TACR3	4	104640833
DKK2	4	108166306
SGMS2	4	108813339
CCDC109B	4	110481493
ENPEP	4	111483712
ALPK1	4	113245755
ANK2	4	113776199
SEC24D	4	119757833
TMEM155	4	122680753
KIAA1109	4	123183999
LARP1B	4	128987093
C4orf33	4	130014770
ELF2	4	140097053
RNF150	4	142055039
INPP4B	4	143416774
SMAD1	4	146415236
POU4F2	4	147561864
EDNRA	4	148402961
FBXW7	4	153383274
ARFIP1	4	153832736
TRIM2	4	154094300
RNF175	4	154636646
RXFP1	4	159333582
MARCH1	4	164892391
MARCH1	4	165133052
MARCH1	4	165305074
TLL1	4	166795083
PALLD	4	169431026
TENM3	4	183168109
SORBS2	4	186727532
SORBS2	4	186745795
FAT1	4	187629511
PLEKHG4B	5	188120
TPPP	5	688436
ZDHHC11	5	780499
SEMA5A	5	9440821
SEMA5A	5	9482662
CDH12	5	22078930
CDH12	5	22826064
PDZD2	5	31706309
PDZD2	5	31758651
PDZD2	5	31777899
PDZD2	5	31785200
RAI14	5	34666307
AGXT2	5	34998428
PRLR	5	35066170
PRLR	5	35134625
EGFLAM	5	38464252
DAB2	5	39392568
ELOVL7	5	60102156
ELOVL7	5	60128480
IPO11	5	61876289
HTR1A	5	63257157
MAP1B	5	71491859
HEXB	5	73959706
POLK	5	74825313
AP3B1	5	77477441
LHFPL2	5	77885469
CKMT2	5	80541753
ZCCHC9	5	80599501
MEF2C	5	88148595
GPR150	5	94957002
PCSK1	5	95768600
PPIP5K2	5	102543120
FBXL17	5	107197081
FER	5	108099190
APC	5	112173801
MCC	5	112769724
SEMA6A	5	115866217
CSNK1G3	5	122854870
PRRC1	5	126858205
FBN2	5	127674644
ACSL6	5	131302150
SEPT8	5	132097582
AFF4	5	132275358
VDAC1	5	133335889
SAR1B	5	133967613
PCBD2	5	134304276
CTC-349C3.1	5	134428886
CTC-349C3.1	5	134489957
CTC-349C3.1	5	134564833
CTC-349C3.1	5	134583067
H2AFY	5	134733949
CXXC5	5	139042597
PSD2	5	139182788
PCDHB7	5	140553826
PCDHGA1	5	140711059
PCDHGA1	5	140811010
RELL2	5	141019628
SPRY4	5	141691678
FGF1	5	142065117
RBM27	5	145651169
ARSI	5	149677391
SYNPO	5	149989722
RBM22	5	150071195
GPX3	5	150406598
ANXA6	5	150518290
FAT2	5	150943015
G3BP1	5	151176924
SGCD	5	155604134
SGCD	5	155693332
SGCD	5	155718016
SGCD	5	155745728
ITK	5	156672953
CYFIP2	5	156694193
IL12B	5	158743642
ATP10B	5	160042913
ATP10B	5	160049388
ATP10B	5	160232378
ATP10B	5	160271675
SLIT3	5	168727537
DOCK2	5	169508871
DUSP1	5	172197803
ERGIC1	5	172378758
SFXN1	5	174917205
SLC34A1	5	176814794
DOK3	5	176931554
FAM193B	5	176948312
GRM6	5	178409992
TBC1D9B	5	179289525
RNF130	5	179342658
RASGEF1C	5	179619134
FLT4	5	180047267
MGAT1	5	180219516
MYLK4	6	2670495
RREB1	6	7161222
GCNT2	6	10506453
TBC1D7	6	13283545
RNF182	6	13926345
RNF182	6	13962289
GMPR	6	16254849
ATXN1	6	16417642
ATXN1	6	16576097
ATXN1	6	16719044
ATXN1	6	16730242
CAP2	6	17406375
E2F3	6	20481526
HFE	6	26091238
HIST1H2BC	6	26116823
BTN3A1	6	26414772
ZKSCAN3	6	28333390
OR5V1	6	29331854
OR5V1	6	29396429
ZFP57	6	29646702
TRIM26	6	30173482
PPP1R18	6	30654087
LY6G5B	6	31638692
NOTCH4	6	32188011
C6orf10	6	32261150
PFDN6	6	33262491
BAK1	6	33546493
ITPR3	6	33662727
HMGA1	6	34207143
ZNF76	6	35261640
FKBP5	6	35677399
STK38	6	36514617
CPNE5	6	36762350
FGD2	6	36988509
CCDC167	6	37467666
BTBD9	6	38141079
KIF6	6	39311516
LRFN2	6	40526308
LRFN2	6	40548998
USP49	6	41778189
C6orf132	6	42073590
TRERF1	6	42274704
TRERF1	6	42303033
TRERF1	6	42335894
TRERF1	6	42404729
CUL7	6	43017767
CUL9	6	43167876
RCAN2	6	46452387
PLA2G7	6	46700678
PTCHD4	6	47976584
PAQR8	6	52258256
TMEM14A	6	52541173
GSTA2	6	52624505
ELOVL5	6	53170760
KLHL31	6	53529647
COL21A1	6	55940283
EYS	6	66286148
EYS	6	66317227
COL19A1	6	70897937
FILIP1	6	76166398
FILIP1	6	76176432
MRAP2	6	84760284
MRAP2	6	84765037
HTR1E	6	87725148
GJB7	6	88023765
ANKRD6	6	90152935
ANKRD6	6	90256540
BACH2	6	90831934
BACH2	6	90834116
FUT9	6	96568042
GPR63	6	97259079
KLHL32	6	97372900
POU3F2	6	99283832
POPDC3	6	105610502
SCML4	6	108105705
SLC22A16	6	110752425
TSPYL4	6	116574898
TRAPPC3L	6	116816223
CEP85L	6	119012554
FAM184A	6	119432838
FAM184A	6	119462571
RNF217	6	125408290
PTPRK	6	128319948
MOXD1	6	132645121
STX7	6	132826205
ALDH8A1	6	135260492
SLC35D3	6	137245051
ECT2L	6	139123074
TXLNB	6	139563833
HIVEP2	6	143239472
PHACTR2	6	144148004
PLAGL1	6	144379915
ESR1	6	152052898
TIAM2	6	155220000
TIAM2	6	155265483
TIAM2	6	155285880
TIAM2	6	155313081
TIAM2	6	155392423
ZDHHC14	6	158097123
SERAC1	6	158549164
PRR18	6	166720265
CCR6	6	167532738
TCP10L2	6	167585632
TCP10	6	167796443
KIF25	6	168426531
FRMD1	6	168457314
DACT2	6	168709042
CYP2W1	7	1028823
C7orf50	7	1171005
INTS1	7	1515882
MAFK	7	1572354
ELFN1	7	1753442
ELFN1	7	1754962
FTSJ2	7	2274985
CARD11	7	3082605
AC091801.1	7	3210659
MMD2	7	4959942
TNRC18	7	5430019
RNF216	7	5802990
ZNF853	7	6663192
DGKB	7	14885583
SOSTDC1	7	16562149
HDAC9	7	18144735
HDAC9	7	18145224
KLHL7	7	23164704
SNX10	7	26361488
HOXA4	7	27168640
NOD1	7	30515178
GGCT	7	30587341
ELMO1	7	37392532
EPDR1	7	37762717
RALA	7	39686081
HECW1	7	43186331
TMED4	7	44621406
ZMIZ2	7	44794315
H2AFV	7	44869161
TNS3	7	47496401
TNS3	7	47497961
TNS3	7	47588689
TNS3	7	47604196
VWC2	7	49815049
IKZF1	7	50471792
PSPH	7	56095275
ERV3-1	7	64453325
ASL	7	65558469
CLDN3	7	73183417
ELN	7	73483596
SRRM3	7	75848822
UPK3B	7	76217844
UPK3B	7	76241244
UPK3B	7	76339813
CCDC146	7	76755707
CD36	7	80019499
CD36	7	80231933
SEMA3E	7	82994068
ABCB4	7	87072646
CDK14	7	90802637
GNGT1	7	93270080
ASNS	7	97499509
TRRAP	7	98543392
ZSCAN25	7	99219100
TRIM4	7	99490052
ZNF3	7	99677480
GPC2	7	99769272
MOSPD3	7	100209907
ORAI2	7	102087343
GRM8	7	126889873
SND1	7	127670589
METTL2B	7	128143595
MKLN1	7	130978742
PLXNA4	7	132252186
CALD1	7	134484623
TMEM140	7	134841682
NUP205	7	135262688
CHRM2	7	136605201
PTN	7	136959324
PTN	7	136984486
PTN	7	137004875
HIPK2	7	139253384
CLEC5A	7	141646547
MGAM	7	141765574
MGAM	7	141794606
NOBOX	7	144094557
EZH2	7	148547446
TMEM176A	7	150500755
RNF32	7	156433627
ESYT2	7	158622254
DLGAP2	8	1463278
DLGAP2	8	1471769
KBTBD11	8	1924273
CSMD1	8	3045433
PPP1R3B	8	9004859
BLK	8	11354490
CTSB	8	11711727
DEFB134	8	11851230
KIAA1456	8	12826910
CNOT7	8	17104092
CSGALNACT1	8	19495890
HR	8	21974495
BMP1	8	22054848
CCAR2	8	22471999
EGR3	8	22547128
EGR3	8	22547337
LOXL2	8	23155163
ADAM28	8	24216092
PTK2B	8	27208274
PTK2B	8	27316635
ZNF395	8	28219064
EXTL3	8	28558738
KIF13B	8	29004033
RBPMS	8	30426605
WRN	8	30904813
RP11-863K10.7	8	37592448
STAR	8	38003929
PLEKHA2	8	38761094
ZMAT4	8	40695537
POLB	8	42196001
SNTG1	8	50831790
ST18	8	53196522
ST18	8	53215489
ST18	8	53218258
ST18	8	53315193
SOX17	8	55370711
FAM110B	8	58946444
FAM110B	8	59003943
FAM110B	8	59053333
PPP1R42	8	67880950
NCOA2	8	71185835
TCEB1	8	74880114
ZNF704	8	81748524
TMEM64	8	91746419
CDH17	8	95226423
NCALD	8	103097556
ATP6V1C1	8	104033464
RP11-127H5.1	8	105651531
RP11-127H5.1	8	105679722
SLC30A8	8	118110733
DEPTOR	8	120977475
ZHX2	8	123873873
FAM49B	8	130937372
ASAP1	8	131429241
TG	8	134030226
FAM135B	8	139398692
FAM135B	8	139506434
KCNK9	8	140626536
PTP4A3	8	142408065
TSNARE1	8	143449832
LY6H	8	144239473
ZFP41	8	144357497
NAPRT1	8	144659478
EPPK1	8	144949839
KIAA1875	8	145171736
CPSF1	8	145634515
ARHGAP39	8	145844582
ARHGAP39	8	145846655
ARHGAP39	8	145881120
ARHGAP39	8	145886332
KANK1	9	711005
PTPRD	9	8882780
PTPRD	9	9304859
PTPRD	9	9477337
PTPRD	9	9718548
PTPRD	9	9983124
ZDHHC21	9	14679807
SNAPC3	9	15463141
CCDC171	9	15972815
TEK	9	27169552
LINGO2	9	28132933
LINGO2	9	28419416
LINGO2	9	28437430
ACO1	9	32393449
RUSC2	9	35509219
RGP1	9	35754904
TMEM8B	9	35846502
ZBTB5	9	37455069
FRMPD1	9	37746226
ALDH1B1	9	38394162
TMC1	9	75169850
RFK	9	79009013
GCNT1	9	79088111
SLC28A3	9	86900985
C9orf153	9	88857584
SEMA4D	9	92028481
SEMA4D	9	92055717
SEMA4D	9	92094095
SEMA4D	9	92107794
ROR2	9	94419215
ROR2	9	94431785
ROR2	9	94519687
FGD3	9	95737220
WNK2	9	96055138
SLC35D2	9	99083050
CCDC180	9	100022705
XPA	9	100437267
LPPR1	9	103796720
OR13C8	9	107332306
IKBKAP	9	111695939
ZFP37	9	115819011
AKNA	9	117120397
AKNA	9	117152193
AKNA	9	117153066
C9orf91	9	117400914
PAPPA	9	119163333
PDCL	9	125588966
ZBTB26	9	125680950
GPR144	9	127215655
GOLGA1	9	127684085
MAPKAP1	9	128444298
MAPKAP1	9	128456569
RALGPS1	9	129678422
RALGPS1	9	129961325
LRSAM1	9	130259592
SH2D3C	9	130511506
SLC25A25	9	130868509
CIZ1	9	130941141
GOLGA2	9	131020097
AL359091.2	9	131062904
COQ4	9	131094542
SLC27A4	9	131105549
LRRC8A	9	131655605
NUP188	9	131757143
FAM73B	9	131799410
USP20	9	132638514
FIBCD1	9	133778469
SETX	9	135139964
CEL	9	135939883
SLC2A6	9	136336883
ADAMTSL2	9	136398572
ADAMTSL2	9	136406005
NACC2	9	138957547
NACC2	9	138977866
NOTCH1	9	139393334
NOTCH1	9	139418441
LCN15	9	139656214
ANAPC2	9	140078127
SLC34A3	9	140127487
AKR1C1	10	4964192
AKR1C1	10	4964219
CALML5	10	5540979
PFKFB3	10	6277249
SFMBT2	10	7426775
ITIH5	10	7614297
CELF2	10	11378133
PROSER2	10	11892701
CCDC3	10	13056046
CCDC3	10	13069286
CCDC3	10	13113749
FRMD4A	10	14382535
MEIG1	10	15004096
PLXDC2	10	20570619
C10orf67	10	23606302
KIAA1217	10	24119940
KIAA1217	10	24217109
KIAA1217	10	24226761
ARMC4	10	28250565
ARMC4	10	28272825
SVIL	10	29915490
ZNF438	10	31186007
CCNY	10	35602047
ANKRD30A	10	37609441
RASGEF1A	10	43751748
MARCH8	10	46058165
GPRIN2	10	46999880
ZNF488	10	48370618
GDF10	10	48426693
WDFY4	10	49898294
A1CF	10	52569715
PCDH15	10	56614986
PCDH15	10	56668386
PCDH15	10	56761052
PCDH15	10	56792313
PCDH15	10	57136646
PCDH15	10	57203469
TFAM	10	60144835
BICC1	10	60589013
ANK3	10	61868754
PBLD	10	70077332
RUFY2	10	70103896
H2AFY2	10	71818160
PALD1	10	72240563
CDH23	10	73544156
P4HA1	10	74848083
C10orf55	10	75671817
ZMIZ1	10	80843352
ZMIZ1	10	80945061
SFTPA2	10	81319819
SFTPD	10	81702607
NRG3	10	84745736
BMPR1A	10	88584124
BMPR1A	10	88687288
NUTM2A	10	88994223
SLC16A12	10	91269177
FFAR4	10	95351861
ALDH18A1	10	97365929
TLL2	10	98144429
SFRP5	10	99529444
CRTAC1	10	99661346
R3HCC1L	10	100004009
DNMBP	10	101728875
DNMBP	10	101761291
TLX1NB	10	102886414
PITX3	10	103994293
CYP17A1	10	104595063
CNNM2	10	104838703
DUSP5	10	112266689
SHOC2	10	112708718
CASP7	10	115451162
ADRB1	10	115804140
AFAP1L2	10	116085683
GFRA1	10	117823599
KIAA1598	10	118808547
PPAPDC1A	10	122349055
C10orf85	10	122357887
FGFR2	10	123356976
TACC2	10	123843334
TACC2	10	123843362
CHST15	10	125815049
CHST15	10	125845177
LHPP	10	126150530
FAM53B	10	126407987
CTBP2	10	126805880
CTBP2	10	126824178
SPRN	10	135240931
SPRN	10	135342292
SLC22A18	11	2939255
OSBPL5	11	3175460
OR52B4	11	4389244
OR52M1	11	4566477
OR52A1	11	5186511
OR52L1	11	6007695
CCKBR	11	6292300
DCHS1	11	6667962
OLFML1	11	7532574
TRIM66	11	8662627
ST5	11	8831514
ST5	11	8838904
ZNF143	11	9487652
WEE1	11	9610801
TEAD1	11	12714003
TEAD1	11	12743013
ARNTL	11	13330902
ARNTL	11	13355240
CALCB	11	14953833
SOX6	11	16477961
OTOG	11	17594726
OTOG	11	17617665
OTOG	11	17632294
IMMP1L	11	31508528
TSPAN18	11	44879784
CHST1	11	45678076
DGKZ	11	46389291
CELF1	11	47536626
OR5AR1	11	56431401
SMTNL1	11	57310184
SERPING1	11	57369545
OR5B12	11	58207161
MS4A8	11	60467106
PGA3	11	60978586
PGA4	11	60997415
DAGLA	11	61480490
MYRF	11	61533146
AHNAK	11	62293536
AHNAK	11	62294013
SLC22A8	11	62766539
SLC22A10	11	63067016
MARK2	11	63662709
VEGFB	11	64003764
RPS6KA4	11	64135654
AP003774.4	11	64217556
SLC22A11	11	64323855
NRXN2	11	64480707
NRXN2	11	64490614
MEN1	11	64577826
SLC29A2	11	66139076
PC	11	66668894
PC	11	66698389
PC	11	66723951
KDM2A	11	67018177
PTPRCAP	11	67205334
CABP4	11	67221094
PPP6R3	11	68280633
PPFIA1	11	70117444
PPFIA1	11	70218431
DHCR7	11	71146349
FAM168A	11	73235939
RNF169	11	74548835
LRRC32	11	76372307
GDPD4	11	76997923
PAK1	11	77154255
AAMDC	11	77590088
TENM4	11	78799822
